f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
-2.6561,13.7785,6.7863,2.5081,-12.5372,-11.3999,-13.9484,12.571,3.5489,3.5976,0
-3.2777,12.9438,5.9444,3.8773,-8.7729,-8.9232,-14.5163,10.5215,3.5303,7.7055,0
-4.4826,13.2429,5.3003,1.1654,-9.1007,-8.2858,-13.3655,12.4906,3.5759,5.2745,0
-3.2217,15.8285,6.9061,5.3067,-14.2491,-9.0873,-13.1269,10.5368,3.1711,3.2608,0
-4.0933,14.0571,9.1767,2.1823,-11.5322,-11.0728,-11.8844,11.4784,2.2388,7.0121,0
-3.6182,14.9744,5.9067,2.4683,-10.9076,-12.5154,-12.8133,11.3769,3.0411,5.8903,0
-5.8869,12.8905,6.4457,1.7563,-10.5614,-9.7141,-10.4282,11.2472,3.4198,6.1305,0
-6.642,13.4817,7.0502,6.6546,-10.608,-9.8678,-13.3096,9.2323,4.7477,7.3701,0
-2.5772,12.1573,9.064,0.857,-9.4392,-7.0345,-14.7433,10.1358,3.1829,5.487,0
-6.0898,13.6243,5.3664,3.6701,-11.6986,-7.9953,-14.4324,10.5022,4.2537,4.3959,0
-3.4226,15.4821,4.5486,3.2367,-9.9296,-9.1474,-15.1129,9.0046,3.8164,6.6877,0
-3.3881,14.0411,5.9398,3.3081,-9.8798,-11.3917,-10.4588,11.696,1.2465,7.227,0
-5.2258,14.7021,8.6977,1.7287,-8.8744,-9.701,-12.0244,13.8305,2.6654,5.1116,0
-5.0981,12.2977,6.8442,3.4715,-9.9044,-9.0794,-13.238,13.1656,2.6365,10.3224,0
-2.8253,12.2357,5.3535,3.6835,-10.6546,-9.2492,-12.5476,10.876,1.7633,3.9699,0
-4.4336,14.806,7.281,1.0911,-10.0597,-9.7422,-14.5833,11.2159,3.1208,4.5277,0
-3.2271,14.3626,8.5844,4.5405,-12.3859,-11.7269,-12.4849,11.756,3.806,12.0213,0
-2.9075,15.2248,8.3908,3.9368,-10.7923,-9.1817,-14.4167,10.6301,2.3054,6.365,0
-0.2918,10.7205,7.9892,0.5407,-11.0273,-8.6867,-13.1611,9.3687,1.9605,7.2616,0
-4.8593,13.8461,7.0282,1.9824,-7.1035,-9.3693,-16.2952,11.265,2.0408,7.5208,0
-4.9526,13.3493,7.7173,4.2584,-12.1199,-10.8219,-13.9699,10.0053,5.6816,6.8496,0
-5.6551,14.8982,10.1431,4.5085,-12.5985,-11.0465,-11.3571,9.9238,3.6992,7.4041,0
-5.1542,13.4321,2.0979,1.4232,-10.6983,-12.1918,-10.8089,8.8401,2.3734,6.4383,0
-1.6019,11.3676,8.7046,2.9751,-11.7917,-9.627,-12.9589,10.085,3.1382,5.6642,0
-3.5935,14.5146,9.3388,1.103,-7.1199,-13.2483,-13.4852,11.8678,3.4549,5.3081,0
-4.076,12.7819,6.0758,4.2342,-9.7839,-11.3595,-11.9081,11.4462,4.2527,7.1866,0
-5.0073,12.6812,8.0808,3.8753,-10.3508,-10.1442,-11.341,10.0979,3.8541,5.9389,0
-4.0903,15.1696,8.1979,4.18,-8.3612,-10.2887,-12.2346,10.5199,3.5197,6.047,0
-3.6183,14.4142,5.7325,6.0983,-11.8285,-12.1414,-11.5203,12.1728,3.9696,7.1847,0
-3.7822,12.1755,7.0735,1.944,-8.8568,-10.5408,-14.4957,10.5032,3.6528,5.3966,0
-4.9971,13.887,7.3273,2.1993,-11.026,-9.9721,-15.4296,8.8741,1.9558,5.922,0
-3.2974,15.7345,8.2463,2.7198,-10.348,-11.824,-13.2853,10.5523,3.5175,5.0013,0
-2.9848,15.8205,6.7967,3.5623,-9.2842,-10.922,-12.9214,11.0042,3.18,5.0827,0
-3.727,14.2684,9.1365,4.3987,-7.0897,-11.4712,-11.949,11.2603,6.3182,5.0297,0
-5.0234,12.6223,3.774,2.1711,-11.4581,-10.0946,-12.7449,13.7995,4.4591,5.3768,0
-5.1114,14.2593,4.9795,5.7069,-8.5503,-11.0239,-15.8272,13.0161,2.8616,8.0989,0
-6.1554,12.6224,6.9677,3.0302,-10.9945,-9.3859,-14.8589,10.7717,3.2139,7.0138,0
-2.6964,11.8345,4.6586,4.8763,-9.821,-11.4429,-10.9308,11.1588,4.8024,6.3435,0
-0.6727,16.1544,6.5864,4.4171,-9.3514,-8.2672,-14.7049,12.0144,4.6211,3.6041,0
-5.5387,10.4626,6.5557,4.0361,-8.0659,-10.209,-10.8146,8.9151,0.4784,6.1589,0
-3.1877,13.4724,3.8587,2.8261,-12.2761,-9.3157,-12.7076,9.5755,2.2626,4.6534,0
-3.8578,14.9541,5.4812,3.7158,-11.1148,-11.5095,-13.418,9.4324,2.203,4.4454,0
-0.8167,13.5743,5.9102,3.2807,-10.4879,-10.6516,-12.3362,12.1215,2.2377,5.3784,0
-4.1764,10.0685,4.687,5.0101,-7.852,-10.6937,-12.3927,11.4522,7.6518,7.9215,0
-3.9557,12.0881,4.5501,3.2649,-11.454,-12.4535,-14.2274,9.363,5.5642,7.5646,0
-3.7758,15.7413,7.0759,1.6678,-8.0348,-9.5118,-14.8134,10.6998,1.72,4.168,0
-2.3745,16.3856,4.862,3.8042,-11.2954,-11.0509,-14.1461,9.6893,3.1062,4.9958,0
-3.3581,13.4461,6.6014,1.5984,-11.1846,-9.1871,-12.5061,9.519,3.1824,7.3693,0
-6.2679,14.3365,5.9659,3.8157,-11.4643,-13.0275,-15.6988,11.0574,3.423,4.8857,0
-2.8059,11.0291,6.8607,1.1432,-11.2972,-10.2491,-14.5481,10.4085,4.5429,5.3768,0
-2.5103,11.8269,7.7545,5.1221,-14.0269,-11.5155,-12.3919,10.6807,3.5902,5.3362,0
-3.6339,13.2879,8.7115,3.3414,-9.813,-10.938,-13.9889,10.3364,3.6251,5.6107,0
-3.3291,16.6345,8.2665,2.4707,-8.5176,-10.9323,-16.3147,9.4732,0.2273,5.7149,0
-3.7362,16.0361,7.4502,2.6311,-9.0753,-13.6369,-12.9041,12.1416,0.8156,7.9578,0
-3.2561,12.8985,7.909,6.3658,-10.0466,-9.9478,-13.9465,9.7105,4.279,4.9581,0
-3.6564,12.8049,7.6783,3.4602,-8.7631,-11.0852,-13.6623,9.5171,2.367,6.8081,0
-2.6283,12.1382,8.2642,4.9932,-9.6993,-7.505,-14.4182,9.1183,0.3654,8.4862,0
-2.7822,13.4381,7.3798,1.2715,-6.6508,-10.1263,-13.0934,12.0739,3.755,6.578,0
-4.9495,14.2286,9.7829,4.9779,-7.9297,-11.087,-14.7419,10.7966,3.117,7.8835,0
-6.3025,15.8158,6.7228,2.3194,-11.8376,-12.8024,-12.0227,11.0953,1.0985,4.2996,0
-4.2675,16.025,6.5704,0.705,-10.6881,-10.7292,-17.3028,10.9038,2.687,7.2865,0
-0.9904,15.2113,6.5565,1.3,-6.4594,-10.2313,-13.2366,10.9491,3.3306,6.0256,0
-4.6243,12.7011,6.9107,2.1446,-11.3887,-10.1605,-13.64,13.2413,-0.943,7.8794,0
-1.8947,10.4113,6.4458,2.4026,-12.4307,-11.4869,-14.9234,13.6137,4.437,8.1495,0
-2.6813,11.8279,6.173,3.6938,-12.1526,-9.2507,-13.618,10.4231,4.0999,6.9086,0
-4.3052,15.2604,5.3382,3.8837,-9.4298,-10.7845,-12.7683,9.1086,4.4195,5.9648,0
-4.5479,15.0949,5.9033,0.8471,-12.6544,-9.4111,-15.1781,13.6175,-0.0894,8.7869,0
-3.4473,13.3764,6.1424,3.5585,-10.3759,-8.6652,-13.0862,11.2107,2.488,6.1568,0
-3.3021,10.9562,4.9375,4.0747,-10.0631,-10.5961,-13.2298,11.5067,2.2238,5.0747,0
-3.47,12.0539,7.5722,0.4059,-8.7757,-9.6113,-12.8734,12.4593,5.5317,7.7637,0
-6.5251,11.6021,6.0226,2.9989,-9.543,-11.4088,-12.9773,9.8522,2.1162,4.1322,0
-5.1486,11.4939,5.496,4.5402,-11.7435,-6.3716,-12.5175,11.2625,1.7459,7.2926,0
-4.6273,13.7044,10.7999,2.8157,-8.5955,-11.3749,-13.31,13.6415,2.093,8.9609,0
-2.7022,12.6777,7.9084,4.4186,-9.3867,-12.6755,-14.3482,10.614,2.9218,7.1732,0
-3.4972,11.5184,7.5301,3.8756,-9.4798,-8.699,-12.0066,11.6741,2.9282,3.7507,0
-3.1194,13.833,7.3672,1.0446,-11.941,-8.7404,-13.3168,12.0075,3.0759,6.2868,0
-2.3564,12.7474,7.104,2.2663,-10.9712,-10.7839,-12.9243,10.2672,4.9171,4.9003,0
-4.0441,12.8618,9.1303,3.2546,-8.7717,-12.5485,-12.8569,12.3197,3.1569,7.8404,0
-4.5397,15.6355,10.4082,2.4155,-10.9877,-8.1401,-10.8881,10.201,2.4032,5.8195,0
-5.7805,12.1435,5.4536,1.8081,-10.3715,-9.9688,-10.9317,9.4878,4.5099,5.9212,0
-3.838,14.5337,5.2757,3.5334,-10.0698,-9.5815,-12.8237,14.6682,2.0768,5.4457,0
-4.6985,12.6882,6.0037,4.7433,-8.1887,-11.1763,-14.506,11.6924,2.2051,7.1916,0
-3.4594,11.2478,9.2811,5.6536,-11.2386,-10.9017,-12.8287,11.487,4.0213,9.2575,0
-4.0292,12.324,4.8908,1.8634,-10.3691,-7.6283,-14.0339,11.321,3.0088,8.0248,0
0.0266,12.7251,6.2257,4.526,-9.2966,-7.5501,-12.3816,10.4463,3.9194,7.9052,0
-2.5331,14.2823,8.5598,4.7137,-8.2462,-9.3471,-13.5082,11.2054,4.8432,5.0168,0
-3.2108,12.9314,7.0029,4.8774,-10.0328,-10.2505,-15.2973,12.1047,4.0017,9.4871,0
